	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
122-3	122	2010_ca_122_fruit_C.jpg	3	.	.	126.9555	67.3648	48.5677	82.599	37.4661	27.5363	21.4363	37.8999	34.8964	data normalized to color checker
122-4	122	2010_ca_122_fruit_C.jpg	4	.	.	135.1138	70.3986	51.7272	87.9248	39.3278	29.6117	22.309	36.9938	37.0749	data normalized to color checker
122-5	122	2010_ca_122_fruit_C.jpg	5	.	.	133.2727	60.4097	42.0381	82.4985	36.8076	34.0299	24.5897	35.8516	41.9844	data normalized to color checker
123-6	123	2010_ca_123-001_fruit_C.jpg	6	.	.	125.1849	56.0769	40.5145	77.9635	34.6329	32.9654	22.3841	34.1773	39.8468	data normalized to color checker
123-7	123	2010_ca_123-001_fruit_C.jpg	7	.	.	136.2786	81.1835	53.7901	89.443	41.9446	23.5665	24.5729	46.1976	34.0471	data normalized to color checker
123-8	123	2010_ca_123-001_fruit_C.jpg	8	.	.	132.3223	68.0773	45.6369	83.7436	38.32	29.2845	24.3919	39.7919	38.1123	data normalized to color checker
123-9	123	2010_ca_123-001_fruit_C.jpg	9	.	.	127.6324	63.8024	42.4164	80.0161	36.657	29.5508	23.9436	39.0162	38.0335	data normalized to color checker
123-10	123	2010_ca_123-001_fruit_C.jpg	10	.	.	120.4229	53.2208	37.8025	74.4544	33.2387	32.4101	21.9817	34.1465	39.1613	data normalized to color checker
123-11	123	2010_ca_123-001_fruit_C.jpg	11	.	.	127.8928	73.0085	40.2358	79.118	38.7422	23.7578	27.634	49.3133	36.4427	data normalized to color checker
123-12	123	2010_ca_123-001_fruit_C.jpg	12	.	.	138.7699	74.2813	47.4619	87.6366	40.6567	28.3788	26.5606	43.1045	38.8692	data normalized to color checker
