Strain Id	Organization	Strain Type	Cultivation record	Sown seeds	Germinated　seeds	Total mutant	Total harvested seed	Plant Ontology ID	Germination rate(%)	Mutation rate(%)	First flowering date	First fruit harvesting date	Flower to fruit period	Growth Stage:Phenotype	link
TOMJPG3060	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（3ml）		60	16.7	40242	40242		side shoot : -, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1281
TOMJPG3062	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	2.75ml（）	SP:0000056,SP:0000042,SP:0000031,SP:0000022	40	50	40242	40242		leaf production : Leaf morphology-Leaf size, leaf production : Leaf color-Other leaf color, - : Plant size-Small plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1282
TOMJPG3083	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（）	SP:0000021	80	12.5	40242	40242		- : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1283
TOMJPG3089	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	4ml（2.7ml）		70	28.6	40242	40242		- : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1284
TOMJPG3093	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（3ml）		60	16.7	40242	40242		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1285
TOMJPG3144	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（0.5ml）	SP:0000038	60	16.7	40245	40245		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1287
TOMJPG3151	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（4ml）		50	20	40245	40245		- : Plant size-Large plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1288
TOMJPG3155	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	2.75ml（13粒）		30	33.3	40245	40245		side shoot : -	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1289
TOMJPG3220	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（0.75ml）	SP:0000022,SP:0000031	80	12.5	40246	40246		leaf production : Leaf morphology-Leaf width, - : Plant size-Small plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1296
TOMJPG3224	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml	SP:0000116	50	20	40246	40246		inflorescence : Inflorescence structure-Lots of flowers	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1297
TOMJPG3240	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（0.2ml）		70	14.3	40246	40246		leaf production : Leaf morphology-Leaf width	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1298
TOMJPG3318	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	1ml（）	SP:0000022,SP:0000031	30	33.3	40246	40246		- : Plant size-Small plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1299
TOMJPG3387	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（）	SP:0000022,SP:0000122	70	14.3	40246	40246		fruit : Fruit color-Orange fruit, flowering : Flower color-Pale yellow flower, - : Plant size-Small plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1300
TOMJPG3446	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（0）		90	11.1	40246	40246		- : Disease and stress response-Wilting	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1302
TOMJPG3482	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	1.5ml（）		40	25	40246	40246		side shoot : -, flowering : Flower morphology-Flower homeotic mutation, - : Plant size-Large plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1303
TOMJPG3508	University of Tsukuba	gamma irradiation-induced mutant lines		2	0	0	3ml（0）	SP:0000021,SP:0000054	70	28.6	40266	40266		leaf production : Leaf color-Yellow-green leaf, - : Plant size-Extremely small, - : Plant habit-Aborted growth	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1305
TOMJPG3520	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	4ml		60	0	40266	40266		fruit : Fruit morphology-Other fruit morphology	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1306
TOMJPG3524	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0	4ml（）		60	0	40266	40266		- : Plant size-Large plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1308
