Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:		
722	SCT_0258	2010	Mills River	NC	2	Oregon Spring		
731	SCT_0259	2010	Mills River	NC	1	Oregon Star		
732	SCT_0259	2010	Mills River	NC	2	Oregon Star		
741	SCT_0260	2010	Mills River	NC	1	P20-3-1		
742	SCT_0260	2010	Mills River	NC	2	P20-3-1		
1361	SCT_0261	2010	Mills River	NC	1	PI 564169		
1362	SCT_0261	2010	Mills River	NC	2	PI 564169		
1371	SCT_0262	2010	Mills River	NC	1	PI 647532		
1372	SCT_0262	2010	Mills River	NC	2	PI 647532		
1381	SCT_0263	2010	Mills River	NC	1	PI128586		
1382	SCT_0263	2010	Mills River	NC	2	PI128586		
1391	SCT_0264	2010	Mills River	NC	1	PI281553		
1392	SCT_0264	2010	Mills River	NC	2	PI281553		
1401	SCT_0265	2010	Mills River	NC	1	PI340906		
1402	SCT_0265	2010	Mills River	NC	2	PI340906		
1411	SCT_0266	2010	Mills River	NC	1	PI470262		
1412	SCT_0266	2010	Mills River	NC	2	PI470262		
1421	SCT_0267	2010	Mills River	NC	1	PI65023		
1422	SCT_0267	2010	Mills River	NC	2	PI65023		
591	SCT_0268	2010	Mills River	NC	1	'Piedmont'		
592	SCT_0268	2010	Mills River	NC	2	'Piedmont'		
871	SCT_0269	2010	Mills River	NC	1	RioGrande		
872	SCT_0269	2010	Mills River	NC	2	RioGrande		
751	SCT_0270	2010	Mills River	NC	1	Severianin		
752	SCT_0270	2010	Mills River	NC	2	Severianin		
761	SCT_0271	2010	Mills River	NC	1	Siletz		
762	SCT_0271	2010	Mills River	NC	2	Siletz		
601	SCT_0272	2010	Mills River	NC	1	'Summit'		
602	SCT_0272	2010	Mills River	NC	2	'Summit'		
881	SCT_0273	2010	Mills River	NC	1	T-5		
882	SCT_0273	2010	Mills River	NC	2	T-5		
891	SCT_0274	2010	Mills River	NC	1	T-9		
892	SCT_0274	2010	Mills River	NC	2	T-9		
841	SCT_0275	2010	Mills River	NC	1	Tropic		
842	SCT_0275	2010	Mills River	NC	2	Tropic		
901	SCT_0276	2010	Mills River	NC	1	UC-MR20		
902	SCT_0276	2010	Mills River	NC	2	UC-MR20		
911	SCT_0277	2010	Mills River	NC	1	UC-N28		
912	SCT_0277	2010	Mills River	NC	2	UC-N28		
921	SCT_0278	2010	Mills River	NC	1	UC-T338		
922	SCT_0278	2010	Mills River	NC	2	UC-T338		
931	SCT_0279	2010	Mills River	NC	1	UC-TR44		
932	SCT_0279	2010	Mills River	NC	2	UC-TR44		
941	SCT_0280	2010	Mills River	NC	1	UC-TR51		
942	SCT_0280	2010	Mills River	NC	2	UC-TR51		
771	SCT_0281	2010	Mills River	NC	1	Willamette VF		
772	SCT_0281	2010	Mills River	NC	2	Willamette VF		
831	SCT_0282	2010	Mills River	NC	1	Ha7981		
832	SCT_0282	2010	Mills River	NC	2	Ha7981		
851	SCT_0283	2010	Mills River	NC	1	Ha7997		
852	SCT_0283	2010	Mills River	NC	2	Ha7997		
861	SCT_0284	2010	Mills River	NC	1	Ha7998		
862	SCT_0284	2010	Mills River	NC	2	Ha7998		
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
	331	SCT_0228/SCT_0229	2010	Mills River	NC	1	NC13	
	781	SCT_0228/SCT_0229	2010	Mills River	NC	1	NC13	
	332	SCT_0228/SCT_0229	2010	Mills River	NC	2	NC13	
	782	SCT_0228/SCT_0229	2010	Mills River	NC	2	NC13	
