		Tomato Analyzer - Shape Individual Data																																					
	SCT # 	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	sct#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
211-1	SCT_0163	211	2010_nc_211_fruit-t.jpg	1	52.6195	185.4138	16.6878	16.7894	13.1826	13.6906	0.8154	0.79	0.9087	0.7671	1.1845	0.9388	0.9393	0.5165	0.6078	0.0231	176.8	136.5	0.0836	193.1	118.2	0.0032	0	0	0.1869	7.2974	0	15.6894	0.4427	0.7732	0.8927	0.8889	0.8	0.4088	version 2
211-2	SCT_0163	211	2010_nc_211_fruit-t.jpg	2	54.7676	199.6215	16.7894	16.9164	13.081	14.4272	0.8529	0.7791	0.9107	0.7912	1.1511	0.8962	0.9544	0.5528	0	0.1008	244.2	142.8	0.178	175.6	113.2	0	0	0	0.1854	4.0282	0	17.3248	0.4454	0.7231	0.8913	0.8855	0.7765	0.4505	version 2
211-3	SCT_0163	211	2010_nc_211_fruit-t.jpg	3	51.0915	172.9087	15.494	15.6718	12.4968	13.8176	0.8817	0.8066	0.9213	0.7656	1.2034	0.8896	0.959	0.5361	1.7938	0.0821	208.4	141.7	0.1842	173.7	109.5	0	0	0	0.2102	3.2413	0	20.276	0.4304	0.7219	0.8889	0.8869	0.8033	0.4394	version 2
211-4	SCT_0163	211	2010_nc_211_fruit-t.jpg	4	50.9863	168.7377	15.0368	15.2654	12.827	13.9192	0.9118	0.853	0.9189	0.7551	1.217	0.9116	0.9725	0.5229	1.3087	0.0578	223.9	134.9	0.1371	177.7	108	0	0	0	0.2139	3.1828	0	20.555	0.4281	0.7313	0.8889	0.883	0.8511	0.4354	version 2
211-5	SCT_0163	211	2010_nc_211_fruit-t.jpg	5	49.8851	167.9481	15.5702	15.6718	12.4714	13.5382	0.8639	0.801	0.863	0.7912	1.0907	0.924	0.9532	0.5059	1.05	0.0454	184.5	128.1	0.1457	172.7	119.9	0	0	0	0.1674	10.844	0	13.0633	0.4522	0.7368	0.8889	0.8889	0.8033	0.4229	version 2
211-6	SCT_0163	211	2010_nc_211_fruit-t.jpg	6	48.261	156.7029	15.0368	15.113	11.8872	13.0048	0.8605	0.7905	0.8649	0.7855	1.1011	0.9164	0.9535	0.5068	1.4769	0.0669	222.5	133.7	0.1533	161.8	121.1	0	0	0	0.1571	9.953	0	13.6616	0.4805	0.7319	0.8905	0.8863	0.7924	0.4292	version 2
211-7	SCT_0163	211	2010_nc_211_fruit-t.jpg	7	47.3542	144.2591	14.2494	14.3764	11.4046	12.2936	0.8551	0.8004	0.9002	0.8128	1.1075	0.9226	0.9593	0.5382	1.7964	0.0827	182.3	130.7	0.1546	179.6	119.9	0.0006	0	0	0.1664	4.5859	0	10.8124	0.4558	0.7495	0.905	0.8829	0.808	0.4304	version 2
251-1	SCT_0167	251	2010_nc_251_fruit-t.jpg	1	42.7508	120.7494	12.8778	12.9794	9.9822	11.5062	0.8865	0.7751	0.9073	0.8008	1.133	0.8771	0.958	0.5499	0	0.1022	269.9	146.2	0.1913	201.3	114.1	0	0	0	0.176	5.4358	0	12.8431	0.4194	0.6903	0.894	0.8839	0.7723	0.4711	version 2
251-2	SCT_0167	251	2010_nc_251_fruit-t.jpg	2	47.6126	140.1513	14.6558	14.8336	10.4902	11.5062	0.7757	0.7158	0.9307	0.7938	1.1725	0.8591	0.9114	0.5712	1.4903	0.067	198.3	159.9	0.2186	358.9	120.2	0.0005	0	0	0.2024	2.2743	0	16.4048	0.428	0.7655	0.9428	0.8849	0.7758	0.4421	version 2
251-3	SCT_0167	251	2010_nc_251_fruit-t.jpg	3	45.3872	124.2559	13.5128	13.8938	10.0838	11.2268	0.808	0.7462	0.9229	0.7838	1.1775	0.8758	0.9315	0.5337	1.2466	0.0547	227.1	144.1	0.213	187.1	119.5	0.007	0	0	0.21	5.6145	0	15.6722	0.4187	0.771	0.9659	0.8854	0.8252	0.4288	version 2
