	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	 Lobedness Degree	 Pericarp Area	Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
139-5	139	2010_ca_139-001_fruit_C.jpg	5	0.9808	0.4465	0.2551	
139-6	139	2010_ca_139-001_fruit_C.jpg	6	1.046	0.4476	0.2571	
139-7	139	2010_ca_139-001_fruit_C.jpg	7	0.7677	0.4498	0.2602	
139-8	139	2010_ca_139-001_fruit_C.jpg	8	0.9183	0.4502	0.2554	
139-9	139	2010_ca_139-001_fruit_C.jpg	9	1.3655	0.4501	0.2526	
140-6	140	2010_ca_140-001_fruit_C.jpg	6	1.4099	0.4434	0.252	
140-7	140	2010_ca_140-001_fruit_C.jpg	7	1.6316	0.4398	0.2489	
140-8	140	2010_ca_140-001_fruit_C.jpg	8	1.6461	0.4443	0.2536	
140-9	140	2010_ca_140-001_fruit_C.jpg	9	2.5739	0.4433	0.2518	
140-10	140	2010_ca_140-001_fruit_C.jpg	10	1.9937	0.4386	0.2494	
140-1	140	2010_ca_140_fruit_C.jpg	1	3.0834	0.4402	0.2504	
140-2	140	2010_ca_140_fruit_C.jpg	2	1.842	0.4398	0.2389	
140-3	140	2010_ca_140_fruit_C.jpg	3	5.3047	0.412	0.2486	
140-4	140	2010_ca_140_fruit_C.jpg	4	1.8296	0.4387	0.2512	
140-5	140	2010_ca_140_fruit_C.jpg	5	0.6832	0.4418	0.2523	
141-1	141	2010_ca_141_fruit_C.jpg	1	1.1404	0.4418	0.2495	
141-2	141	2010_ca_141_fruit_C.jpg	2	0.9882	0.4397	0.2515	
141-3	141	2010_ca_141_fruit_C.jpg	3	1.3281	0.4417	0.2509	
141-4	141	2010_ca_141_fruit_C.jpg	4	1.0585	0.4396	0.2512	
141-5	141	2010_ca_141_fruit_C.jpg	5	2.0134	0.4411	0.25	
142-1	142	2010_ca_142_fruit_C.jpg	1	1.3655	0.4486	0.2571	
142-10	142	2010_ca_142_fruit_C.jpg	10	2.3811	0.4463	0.25	
142-2	142	2010_ca_142_fruit_C.jpg	2	1.2934	0.4479	0.2544	
142-3	142	2010_ca_142_fruit_C.jpg	3	0.7231	0.4475	0.2532	
142-4	142	2010_ca_142_fruit_C.jpg	4	0.8484	0.4495	0.2553	
142-5	142	2010_ca_142_fruit_C.jpg	5	1.1405	0.4456	0.2509	
