	Tomato Analyzer - Shape Individual Data																																								
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro	  Proximal Angle Macro	  Proximal Indentation Area	  Distal Angle Micro	  Distal Angle Macro	  Distal Indentation Area	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	Comments			
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164				
389-3	389	2009_nc_389_fruit-t.jpg	3	35.8259	61.4347	11.7602	11.9634	4.699	6.8326	0.5711	0.3996	0.9719	0.797	1.2195	0.2486	0.3881	0.5823	0	0.6029	193.9029	253.4414	0.225	176.4934	128.7984	0	0	0	0.2392	7.2015	0	21.7255	0.4015	0.5448	0.8902	0.8795	0.3967	0.5569				 
390-1	390	2009_nc_390_fruit-t.jpg	1	14.7777	15.7574	4.3688	4.3942	4.3942	4.4196	1.0058	1.0058	0.8081	0.8663	0.9329	0.9842	0.9921	0.5232	0	0	181.2114	101.2903	0	171.631	117.9683	0	0	0.1683	0	0.9017	2.6919	0	0.5402	0.7861	0.8889	0.8774	1	0.4052				 
390-2	390	2009_nc_390_fruit-t.jpg	2	15.3042	15.7838	3.9624	4.0386	4.8006	4.826	1.195	1.2115	0.7821	0.8974	0.8714	0.9742	0.9481	0.5306	0	0	179.1533	77.0875	0	171.9704	104.2151	0	0	0.16	0	0.582	3.6139	0	0.5396	0.7937	0.8929	0.8772	1.1905	0.3933				 
390-3	390	2009_nc_390_fruit-t.jpg	3	15.998	17.3838	4.1148	4.1656	5.207	5.2324	1.2561	1.2654	0.7469	0.8642	0.8643	0.9683	0.9372	0.506	0	0	186.6084	65.9762	0	177.9386	95.0707	0	0	0.1925	0	1.0732	4.7607	0	0.555	0.7902	0.8901	0.8804	1.2656	0.3956				 
390-4	390	2009_nc_390_fruit-t.jpg	4	16.7041	17.798	4.1656	4.2164	5.2578	5.2832	1.253	1.2622	0.8171	0.8476	0.964	0.975	0.9342	0.5297	0	0	187.7581	78.7559	0	178.0894	91.0742	0	0	0.1249	0	1.942	2.7152	0	0.5217	0.8019	0.9071	0.8783	1.2969	0.3951				 
390-5	390	2009_nc_390_fruit-t.jpg	5	15.2447	15.6155	3.8862	3.937	4.9276	4.9276	1.2516	1.268	0.7843	0.8693	0.9023	0.9789	0.9368	0.5122	0	0	180.5676	70.8181	0	168.544	90.3073	0.0008	0	0.1416	0	0.715	2.3182	0	0.5024	0.7876	0.8889	0.8736	1.2459	0.3983				 
390-6	390	2009_nc_390_fruit-t.jpg	6	16.3311	17.109	4.191	4.2418	5.0038	5.0546	1.1916	1.1939	0.7697	0.8606	0.8944	0.9774	0.9518	0.5077	0	0	181.4523	74.7366	0	173.4086	98.5562	0	0	0.145	0	0.5758	2.6446	0	0.545	0.7879	0.8966	0.8764	1.2	0.3994				 
391-1	391	2009_nc_391_fruit-t.jpg	1	14.1261	13.0264	3.3528	3.4036	4.826	4.826	1.4179	1.4394	0.7652	0.8788	0.8707	0.9756	0.9067	0.5095	0	0	172.7815	63.8357	0	161.4862	77.7008	0	0	0.1898	0	0.4339	3.2707	0	0.5482	0.8042	0.8994	0.8837	1.4615	0.3851				 
391-2	391	2009_nc_391_fruit-t.jpg	2	14.7763	14.2038	3.683	3.7592	4.826	4.8514	1.2905	1.3103	0.7172	0.869	0.8254	0.9689	0.9267	0.4958	0	0	170.1435	61.0525	0	177.072	84.335	0	0	0.2001	0	0.0895	4.7891	0	0.5693	0.8	0.8941	0.8889	1.3103	0.371				 
391-3	391	2009_nc_391_fruit-t.jpg	3	15.1326	14.2884	3.6068	3.6322	4.9022	4.9276	1.3566	1.3592	0.7746	0.8451	0.9167	0.9844	0.9161	0.5083	0	0	172.9441	56.1949	0	172.4816	82.9695	0	0	0.1062	0	0.5648	1.8944	0	0.4858	0.7876	0.8837	0.8889	1.3571	0.3963				 
391-4	391	2009_nc_391_fruit-t.jpg	4	14.9809	14.5084	3.5306	3.5814	5.2578	5.2832	1.4752	1.4892	0.7122	0.8633	0.825	0.9518	0.8907	0.4674	0	0	171.3352	56.2818	0	173.9786	80.4522	0	0	0.1629	0	1.6232	5.9357	0	0.5048	0.8019	0.8973	0.8877	1.5091	0.3623				 
391-5	391	2009_nc_391_fruit-t.jpg	5	15.1808	15.1232	3.8354	3.8608	4.9022	4.9784	1.2895	1.2781	0.7947	0.7947	1	0.9925	0.9287	0.5169	0.2574	0.0065	187.6114	72.3126	0.0026	173.6297	78.9754	0	0	0	0.1096	0.2821	0	0.1589	0.4904	0.7897	0.9006	0.875	1.2833	0.3808				 
391-6	391	2009_nc_391_fruit-t.jpg	6	16.7288	17.1032	3.7592	3.8354	5.6896	5.7404	1.4967	1.5135	0.7162	0.8851	0.8092	0.9587	0.891	0.4979	0	0	164.6238	52.648	0	177.3377	78.3051	0	0	0.1775	0	0.1956	6.7933	0	0.535	0.7733	0.8744	0.8788	1.4262	0.3711				 
391-7	391	2009_nc_391_fruit-t.jpg	7	15.4515	15.0529	3.7846	3.8862	5.0546	5.1054	1.3137	1.3356	0.6846	0.8389	0.816	0.9597	0.9273	0.4722	0	0	184.0965	57.1055	0	184.0956	83.0067	0	0	0.1999	0	0.27	5.4079	0	0.5524	0.79	0.8977	0.8778	1.3167	0.3618				 
391-8	391	2009_nc_391_fruit-t.jpg	8	14.026	12.8522	3.2512	3.3528	4.7752	4.7752	1.4242	1.4688	0.7656	0.9219	0.8305	0.9438	0.8989	0.5308	0	0	170.3211	58.1117	0	175.3074	82.3776	0	0	0.2259	0	0.369	5.5038	0	0.6166	0.7914	0.8862	0.881	1.451	0.4048				 
392-1	392	2009_nc_392_fruit-t.jpg	1	35.3995	73.6431	11.2522	11.303	6.4008	8.001	0.7079	0.5688	0.9074	0.8397	1.0806	0.7242	0.81	0.5907	0	0.1539	215.9826	169.4315	0.4393	185.777	139.4454	0.0059	0	0	0.1332	2.6274	0	9.5495	0.4751	0.6433	0.8978	0.8821	0.5739	0.5108				 
393-1	393	2009_nc_393_fruit-t.jpg	1	20.2165	25.8567	7.0104	7.0104	3.8608	4.4196	0.6304	0.5507	0.9022	0.8478	1.0641	0.8526	0.7466	0.5866	1.587	0.0728	220.0312	158.9087	0.192	187.6094	155.6333	0.024	0	0	0.1209	2.9133	0	2.44	0.4655	0.6936	0.8889	0.8824	0.5455	0.4826				 
393-2	393	2009_nc_393_fruit-t.jpg	2	21.6457	29.4606	7.112	7.112	4.2672	5.207	0.7321	0.6	0.9071	0.8	1.1339	0.7755	0.8343	0.5644	0	0.1457	205.8728	167.3872	0.3743	175.4371	127.3394	0.0191	0	0	0.1494	3.7108	0	6.8853	0.4732	0.6569	0.8933	0.8874	0.5982	0.4837				 
393-3	393	2009_nc_393_fruit-t.jpg	3	21.395	26.538	6.8834	6.9342	3.8862	4.7244	0.6813	0.5646	0.9004	0.8376	1.0749	0.7605	0.7934	0.576	0	0.18	236.8637	166.3083	0.3575	176.8622	143.7676	0	0	0	0.138	2.6973	0	4.6507	0.4698	0.6595	0.8905	0.8905	0.5701	0.5015				 
393-4	393	2009_nc_393_fruit-t.jpg	4	20.4011	22.3354	6.2992	6.3754	3.81	4.4196	0.6932	0.6048	0.9032	0.7984	1.1313	0.8082	0.8156	0.5369	1.3326	0.0598	214.5692	161.1446	0.2851	176.4295	130.4782	0	0	0	0.1484	3.5549	0	5.388	0.4825	0.7283	0.869	0.9767	0.7412	0.5141				 
393-5	393	2009_nc_393_fruit-t.jpg	5	24.1	33.5283	7.6454	7.7216	4.445	5.3848	0.6974	0.5814	0.9402	0.7973	1.1792	0.6672	0.7921	0.5761	0	0.1084	200.2079	186.8633	0.4719	177.6113	128.346	0	0	0	0.1829	3.4313	0	9.571	0.443	0.6445	0.8774	0.8774	0.5812	0.5191				 
394-1	394	2009_nc_394_fruit-t.jpg	1	12.0186	9.9245	3.4036	3.429	3.556	3.6576	1.0667	1.0448	0.8507	0.791	1.0755	0.9761	0.9796	0.509	0.5399	0.0201	204.6486	104.4068	0.0284	165.4791	96.4557	0	0	0	0.149	1.0699	0	1.4328	0.4706	0.7832	0.9106	0.875	1.0769	0.4053				 
394-2	394	2009_nc_394_fruit-t.jpg	2	10.7737	8.2058	3.048	3.0734	3.2004	3.2766	1.0661	1.05	0.8917	0.8	1.1146	0.971	0.9773	0.5247	0.4533	0.0157	183.3643	106.2287	0.0103	170.5135	100.7412	0	0	0	0.1542	0.7031	0	1.625	0.4504	0.7813	0.9009	0.8696	1.0417	0.4072				 
394-3	394	2009_nc_394_fruit-t.jpg	3	10.9384	8.6961	3.2004	3.2258	3.302	3.3782	1.0472	1.0317	0.8571	0.7937	1.08	0.9724	0.9846	0.4914	0.1325	0	183.911	107.3365	0	174.3722	97.105	0	0	0	0.1301	1.5227	0	1.7619	0.4436	0.7879	0.8966	0.8889	1.04	0.394				 
394-4	394	2009_nc_394_fruit-t.jpg	4	10.3847	7.6077	2.921	2.9718	3.2004	3.2004	1.0769	1.0957	0.8261	0.8435	0.9794	0.9858	0.9765	0.5229	0	0	155.4518	97.4913	0	166.0282	104.6665	0	0	0.1234	0	0.272	0.6034	0	0.5234	0.784	0.8909	0.8673	1.0889	0.4126				 
394-5	394	2009_nc_394_fruit-t.jpg	5	10.3771	6.9071	2.7432	2.7686	3.0734	3.1242	1.1284	1.1204	0.7963	0.8519	0.9348	0.9865	0.9707	0.5158	0	0	177.6404	89.7154	0	177.838	106.0409	0	0	0.1471	0	0.5164	1.2222	0	0.4966	0.7869	0.8727	0.8972	1.1163	0.3943				 
394-6	394	2009_nc_394_fruit-t.jpg	6	11.937	10.2613	3.5052	3.5306	3.5306	3.5814	1.0144	1.0072	0.8913	0.7754	1.1495	0.9595	0.9845	0.5102	0.2312	0.0043	181.5407	117.2702	0.0176	176.4685	93.9709	0	0	0	0.1786	1.45	0	2.9275	0.4255	0.7857	0.8943	0.88	1	0.4025				 
394-7	394	2009_nc_394_fruit-t.jpg	7	10.3996	7.8832	3.048	3.0734	3.0734	3.1242	1.0165	1.0083	0.8333	0.85	0.9804	0.983	0.9889	0.5436	0	0	184.3788	101.0734	0	174.9741	106.3063	0	0	0.1455	0	0.7459	0.4917	0	0.5366	0.7869	0.8889	0.8889	1	0.4076				 
394-8	394	2009_nc_394_fruit-t.jpg	8	12.2595	9.8839	3.5052	3.556	3.4798	3.5052	0.9857	0.9928	0.8043	0.8406	0.9569	0.9888	0.9953	0.5124	0	0	170.7212	103.099	0	181.0514	111.8318	0	0	0.1212	0	0.3431	1.4173	0	0.5031	0.7883	0.8926	0.878	1	0.402				 
394-9	394	2009_nc_394_fruit-t.jpg	9	11.1365	8.3826	3.1496	3.2258	3.2258	3.2512	1.0079	1.0242	0.8871	0.7742	1.1458	0.9774	0.9879	0.5207	0.1417	0	177.9247	112.3257	0	171.5657	93.9992	0	0	0	0.1667	0.3465	0	1.9841	0.4589	0.7874	0.8929	0.885	1.0417	0.4197				 
394-10	394	2009_nc_394_fruit-t.jpg	10	10.3419	7.5742	3.0226	3.048	3.0988	3.0988	1.0167	1.0252	0.8151	0.7983	1.0211	0.9919	0.9915	0.5228	0	0	178.9927	100.9124	0	179.3981	105.4729	0	0	0.1431	0	0.1901	0.3866	0	0.5476	0.7934	0.8972	0.8727	1.0213	0.3963				 
394-11	394	2009_nc_394_fruit-t.jpg	11	10.5679	7.9348	2.9718	2.9718	3.3782	3.3782	1.1368	1.1368	0.7692	0.8291	0.9278	0.991	0.9701	0.4987	0	0	168.851	92.0108	0	172.1262	94.211	0	0	0.1391	0	0.1667	1.9828	0	0.4815	0.7879	0.8889	0.8739	1.1304	0.389				 
394-12	394	2009_nc_394_fruit-t.jpg	12	11.3564	8.3606	3.048	3.0988	3.4036	3.4036	1.0984	1.1167	0.8167	0.8167	1	0.9945	0.9777	0.5199	0	0	168.9682	100.1921	0	168.5554	98.7149	0	0	0.0818	0	0.2256	0.1157	0	0.474	0.782	0.8889	0.8667	1.0833	0.3949				 
395-1	395	2009_nc_395_fruit-t.jpg	1	25.6857	37.0541	8.128	8.1788	4.3688	5.5372	0.677	0.5375	0.9031	0.8625	1.0471	0.6917	0.7564	0.59	0	0.1392	209.5198	175.6924	0.4283	184.3787	146.7572	0.0003	0	0	0.1222	3.4424	0	5.7321	0.4695	0.6452	0.9091	0.8861	0.56	0.5214				 
395-2	395	2009_nc_395_fruit-t.jpg	2	24.3202	33.7696	7.5692	7.62	4.4704	5.461	0.7167	0.5906	0.8893	0.8523	1.0433	0.7768	0.8364	0.5888	0	0.1305	216.0891	165.8824	0.3363	185.0165	142.8332	0.0061	0	0	0.1297	3.0794	0	4.689	0.4363	0.6822	0.9359	0.8743	0.6348	0.4961				 
395-3	395	2009_nc_395_fruit-t.jpg	3	20.0927	25.3064	6.1976	6.2484	4.5974	5.08	0.813	0.7418	0.8975	0.7787	1.1526	0.8889	0.9252	0.5442	1.264	0.056	204.4552	145.7182	0.1968	176.4604	117.2186	0.0005	0	0	0.1775	1.6432	0	5.4939	0.4317	0.7236	0.8834	0.8834	0.75	0.4464				 
395-4	395	2009_nc_395_fruit-t.jpg	4	21.5467	29.6503	6.7818	6.8326	4.6736	5.4102	0.7918	0.6891	0.9101	0.8015	1.1355	0.8146	0.9041	0.5352	0	0.1224	197.4314	162.5117	0.2523	164.055	123.8348	0.0002	0	0	0.1773	5.3443	0	7.3097	0.4311	0.6981	0.8916	0.8916	0.7048	0.4689				 
396-1	396	2009_nc_396_fruit-t.jpg	1	22.305	33.2148	7.2644	7.366	5.1054	5.5118	0.7483	0.7028	0.9266	0.7797	1.1883	0.8929	0.8909	0.5619	1.5558	0.0696	200.043	162.681	0.1527	187.9676	123.8922	0	0	0	0.2557	1.2222	0	7.0035	0.3641	0.7407	0.8889	0.8889	0.7018	0.4435				 
396-2	396	2009_nc_396_fruit-t.jpg	2	23.1454	32.3967	7.1882	7.2644	4.8514	5.5626	0.7657	0.6749	0.9011	0.8057	1.1184	0.8256	0.8844	0.5433	1.5632	0.0715	195.0547	158.3217	0.2635	157.314	123.7919	0.0165	0	0	0.1342	5.3945	0	6.1789	0.4677	0.7431	0.9474	0.895	0.7431	0.4476				 
396-3	396	2009_nc_396_fruit-t.jpg	3	23.5648	34.8567	7.239	7.2644	5.1054	5.7658	0.7937	0.7053	0.9193	0.8211	1.1197	0.8315	0.9135	0.5966	0	0.1176	227.7514	154.5703	0.2391	190.4947	125.4488	0.0078	0	0	0.1472	1.7257	0	6.1509	0.4731	0.7345	0.9274	0.8877	0.7411	0.4595				 
396-4	396	2009_nc_396_fruit-t.jpg	4	25.2437	36.1915	7.4168	7.493	5.334	6.35	0.8475	0.7192	0.7842	0.8733	0.898	0.76	0.9034	0.4772	0	0.0627	213.4045	138.8469	0.2955	194.4595	130.0492	0.0305	0	0.1637	0	14.3333	11.7449	0	0.4841	0.7149	0.9082	0.9319	0.7739	0.4268				 
397-1	397	2009_nc_397_fruit-t.jpg	1	22.3246	33.5709	7.0866	7.1374	5.4356	5.9182	0.8292	0.767	0.8925	0.7885	1.1318	0.8967	0.9323	0.5106	1.806	0.0833	204.5107	138.6281	0.1819	176.2725	123.5271	0.0002	0	0	0.1586	5.181	0	6.2571	0.4549	0.7328	0.8947	0.8854	0.7658	0.4304				 
397-2	397	2009_nc_397_fruit-t.jpg	2	20.4193	27.0251	6.35	6.4516	4.699	5.334	0.8268	0.74	0.892	0.78	1.1436	0.8572	0.9272	0.5056	1.2999	0.0579	225.8034	147.779	0.1813	177.0806	113.1368	0	0	0	0.1639	5.8947	0	6.4545	0.4054	0.6986	0.8902	0.8795	0.7374	0.458				 
397-3	397	2009_nc_397_fruit-t.jpg	3	22.1501	32.0328	7.0612	7.1374	5.0546	5.588	0.7829	0.7158	0.8885	0.8058	1.1027	0.9067	0.9104	0.5408	1.5757	0.0719	217.2638	145.1568	0.1763	177.4779	122.3758	0	0	0	0.1493	2.4795	0	4.975	0.4565	0.7215	0.8977	0.8778	0.7117	0.4452				 
397-4	397	2009_nc_397_fruit-t.jpg	4	19.4109	24.6077	5.969	6.0452	4.826	5.1562	0.8529	0.8085	0.9149	0.766	1.1944	0.9144	0.9468	0.5349	0.1482	0	200.9063	150.4348	0.0938	174.4844	110.6771	0	0	0	0.1927	2.599	0	6.3797	0.4266	0.7426	0.8929	0.8772	0.8152	0.4317				 
397-5	397	2009_nc_397_fruit-t.jpg	5	23.9585	35.1399	7.3152	7.366	5.1562	6.1722	0.8379	0.7049	0.8785	0.8056	1.0905	0.7978	0.9079	0.5084	1.7711	0.0823	230.4726	155.1453	0.2728	173.5376	122.5883	0	0	0	0.1033	8.7479	0	8.2457	0.4787	0.7603	0.9787	0.8804	0.8214	0.4057				 
398-1	398	2009_nc_398_fruit-t.jpg	1	22.9748	33.9412	6.7818	6.8072	5.5118	6.2738	0.9216	0.8127	0.8951	0.7715	1.1602	0.8667	0.9695	0.5082	1.7564	0.0808	244.883	130.951	0.2149	174.31	104.3061	0.0008	0	0	0.1648	4.5813	0	8.0824	0.4556	0.6992	0.8912	0.8821	0.819	0.4608				 
398-2	398	2009_nc_398_fruit-t.jpg	2	25.326	41.1251	7.112	7.3406	6.5278	7.2136	0.9827	0.9179	0.9357	0.7321	1.278	0.8653	0.9728	0.4983	1.7566	0.0798	232.5776	128.1636	0.2157	171.6147	97.0793	0	0	0	0.2397	2.7739	0	13.066	0.398	0.7138	0.8899	0.8745	0.9182	0.4524				 
398-3	398	2009_nc_398_fruit-t.jpg	3	19.6239	24.4909	5.207	5.334	5.1562	5.7658	1.081	0.9902	0.8585	0.8488	1.0115	0.8608	0.958	0.495	0	0.0926	247.9131	102.028	0.1551	171.5455	113.0094	0	0	0.1011	0	6.969	8.6077	0	0.5085	0.7434	0.9282	0.8889	1.0244	0.43				 
398-4	398	2009_nc_398_fruit-t.jpg	4	24.2796	39.5425	6.6294	6.8834	7.0104	7.366	1.0701	1.0575	0.8966	0.7663	1.17	0.9401	0.9692	0.489	0.8569	0.0357	200.3653	104.0816	0.059	169.3657	92.754	0	0	0	0.1739	4.0623	0	7.8037	0.4426	0.7612	0.8907	0.8871	1.068	0.4193				 
399-1	399	2009_nc_399_fruit-t.jpg	1	33.0198	54.9167	5.1562	5.1816	13.0302	13.462	2.598	2.5271	0.936	0.6158	1.52	0.8526	0.7904	0.5036	0.1552	0	197.5854	28.5433	0.0058	110.1685	41.2272	0	0.1396	0	0.2208	5.0775	0	28.1675	0.4302	0.7713	0.8889	0.8831	2.55	0.3977				 
399-2	399	2009_nc_399_fruit-t.jpg	2	31.6699	57.387	5.7912	6.096	10.8712	11.557	1.8958	1.8772	1.0439	0.8509	1.2268	0.7633	0.8317	0.6081	1.0851	0.0444	213.1799	68.9781	0.1422	120.6648	53.6071	0	0	0	0.3887	3.3194	0	23.1506	0.1978	0.7533	0.8883	0.886	1.8791	0.4504				 
400-1	400	2009_nc_400_fruit-t.jpg	1	17.8884	22.4587	5.4356	5.461	4.8006	5.0292	0.9209	0.8832	0.8879	0.8084	1.0983	0.9534	0.9845	0.5421	1.1456	0.0502	207.747	123.9564	0.0993	174.3722	114.8881	0	0	0	0.163	0.5482	0	3.6776	0.4596	0.7614	0.8929	0.8824	0.8824	0.4247				 
400-2	400	2009_nc_400_fruit-t.jpg	2	18.0727	20.48	5.3594	5.3594	4.4196	4.699	0.8768	0.8246	0.8531	0.8246	1.0345	0.9539	0.9707	0.5498	1.037	0.0455	232.3614	126.4013	0.0891	179.0765	116.6494	0	0	0	0.1109	0.7935	0	1.2143	0.4817	0.7609	0.8917	0.8974	0.8434	0.425				 
400-3	400	2009_nc_400_fruit-t.jpg	3	16.9853	20.3993	5.207	5.2324	4.699	4.8006	0.9175	0.9024	0.8829	0.7902	1.1173	0.978	0.9867	0.5309	0.5898	0.0226	191.4249	120.5728	0.0259	175.3536	113.2487	0	0	0	0.1519	0.3777	0	2.7268	0.4611	0.7766	0.8957	0.8743	0.9012	0.4125				 
400-4	400	2009_nc_400_fruit-t.jpg	4	18.1812	20.5845	5.5118	5.5118	4.2418	4.6228	0.8387	0.7696	0.8802	0.8111	1.0852	0.921	0.9427	0.5377	0.9444	0.041	206.0938	138.158	0.1293	179.6837	124.0854	0	0	0	0.1	3.3812	0	3.2176	0.493	0.7403	0.8993	0.8816	0.7882	0.4392				 
400-5	400	2009_nc_400_fruit-t.jpg	5	18.1946	19.838	5.0546	5.08	4.6228	4.9022	0.965	0.9146	0.8593	0.7889	1.0892	0.9551	0.9926	0.5224	0.5785	0.0225	197.4922	116.0241	0.0705	170.9313	108.6178	0	0	0	0.1139	2.224	0	3.2362	0.4783	0.7292	0.875	0.8642	0.9459	0.4708				 
400-6	400	2009_nc_400_fruit-t.jpg	6	16.7426	19.5309	5.1054	5.1308	4.3942	4.6482	0.9059	0.8607	0.9104	0.801	1.1366	0.9179	0.9766	0.5455	1.3574	0.0604	208.611	136.4991	0.1057	170.6744	112.7441	0	0	0	0.1993	1.9725	0	4.8259	0.4208	0.7473	0.8889	0.8774	0.85	0.4355				 
401-1	401	2009_nc_401_fruit-t.jpg	1	17.7042	19.9258	3.8608	3.8862	6.477	6.477	1.6667	1.6776	0.7171	0.8816	0.8134	0.945	0.8636	0.5048	0	0	175.9721	40.6111	0	176.293	60.6999	0	0	0.2255	0	1.437	7.9342	0	0.5765	0.7953	0.8899	0.8821	1.6833	0.3836				 
401-2	401	2009_nc_401_fruit-t.jpg	2	15.9955	15.5413	3.556	3.5814	5.1816	5.3594	1.4965	1.4571	0.7643	0.8857	0.8629	0.9523	0.8893	0.5292	0	0.0206	239.9237	55.3214	0.0288	177.4311	73.226	0	0	0.1611	0	1.0619	4.5357	0	0.5134	0.7619	0.8889	0.8743	1.4286	0.4157				 
401-3	401	2009_nc_401_fruit-t.jpg	3	20.26	23.038	4.2164	4.4196	6.5278	6.5532	1.4828	1.5482	0.747	0.988	0.7561	0.852	0.8833	0.5047	0	0	185.8325	50.9973	0	178.1563	81.3292	0	0	0.2482	0	3.8132	13.1965	0	0.5814	0.7626	0.8673	0.8711	1.3803	0.3879				 
401-4	401	2009_nc_401_fruit-t.jpg	4	19.4535	24.7529	4.3942	4.4704	6.8834	6.9088	1.5455	1.5665	0.7168	0.9422	0.7607	0.9049	0.8799	0.5129	0	0	166.6479	46.2538	0	172.3906	80.5253	0	0	0.2715	0	1.7712	12.7657	0	0.6029	0.797	0.8889	0.8889	1.5882	0.3987				 
401-5	401	2009_nc_401_fruit-t.jpg	5	18.7734	22.4922	4.699	4.699	6.0706	6.1722	1.3135	1.2919	0.7514	0.8108	0.9267	0.987	0.9318	0.4706	0	0.001	201.3064	78.5199	0.0067	166.8076	82.4974	0	0	0.1254	0	1.3182	2.663	0	0.4885	0.7769	0.8868	0.8826	1.2877	0.3816				 
401-6	401	2009_nc_401_fruit-t.jpg	6	19.1693	23.427	4.5212	4.6736	6.6802	6.7056	1.4348	1.4775	0.6292	0.9157	0.6871	0.91	0.9044	0.4467	0	0	158.6553	56.7549	0	168.6943	84.1185	0	0	0.2529	0	1.6198	14.2568	0	0.5693	0.7985	0.8898	0.8898	1.4583	0.3459				 
401-7	401	2009_nc_401_fruit-t.jpg	7	14.5797	13.6832	3.302	3.5052	5.0292	5.08	1.4493	1.5231	0.7231	0.9923	0.7287	0.872	0.8887	0.5095	0	0	162.2107	46.2468	0	179.8805	84.9746	0	0	0.3348	0	0.3216	10.9416	0	0.65	0.794	0.8927	0.8876	1.5192	0.3915				 
402-1	402	2009_nc_402_fruit-t.jpg	1	21.0681	25.7251	4.0386	4.064	7.7978	7.8486	1.9312	1.9308	0.8742	0.8302	1.053	0.9664	0.8381	0.5262	0.1329	0	161.2691	50.271	0	151.8611	57.5841	0	0	0	0.1314	2.0974	0	4.0943	0.4752	0.7403	0.8837	0.8231	1.7813	0.4252				 
402-2	402	2009_nc_402_fruit-t.jpg	2	26.419	43.7922	6.0706	6.1214	9.398	9.525	1.556	1.5481	0.8159	0.6987	1.1677	0.9765	0.8833	0.4786	0.1405	0	172.8552	64.9482	0	136.5844	61.8872	0	0.3013	0	0.162	2.9011	0	7.575	0.4648	0.7861	0.8936	0.8802	1.5474	0.3537				 
402-3	402	2009_nc_402_fruit-t.jpg	3	23.8178	36.738	5.7404	5.7912	7.5692	7.874	1.3596	1.3186	0.9115	0.7611	1.1977	0.9391	0.914	0.5353	0.5718	0.0212	217.3886	90.6603	0.0438	165.8226	66.978	0	0	0	0.1936	4.7249	0	8.5551	0.4241	0.7767	0.8955	0.8922	1.3483	0.4108				 
402-4	402	2009_nc_402_fruit-t.jpg	4	23.9498	33.7109	5.1816	5.2832	8.255	8.4328	1.5962	1.5931	0.7745	0.7157	1.0822	0.9615	0.8769	0.4805	0.4288	0.0144	214.0693	50.8277	0.0193	140.1298	61.9579	0	0	0	0.1656	2.8459	0	8.5169	0.4398	0.713	0.8839	0.8055	1.4568	0.4253				 
403-1	403	2009_nc_403_fruit-t.jpg	1	27.8119	44.6593	8.4582	8.5598	5.3086	6.4008	0.7478	0.6276	0.9309	0.8198	1.1355	0.7558	0.8654	0.577	0	0.1137	221.2326	164.4308	0.3635	176.2054	109.8289	0	0	0	0.1865	2.0916	0	9.6131	0.4418	0.6932	0.9405	0.8788	0.6641	0.4828				
403-2	403	2009_nc_403_fruit-t.jpg	2	18.5114	23.2671	5.6134	5.6896	4.572	5.0546	0.8884	0.8145	0.9367	0.7557	1.2395	0.8823	0.9653	0.5424	1.8642	0.0853	244.7339	145.209	0.1586	194.0374	101.1351	0	0	0	0.2325	1.7121	0	7.6233	0.392	0.7273	0.8944	0.8889	0.8182	0.4481				
403-3	403	2009_nc_403_fruit-t.jpg	3	22.9719	32.6451	7.0104	7.112	4.953	5.5372	0.7786	0.7065	0.9058	0.8623	1.0504	0.8606	0.9103	0.5821	0	0.1148	228.0925	148.8195	0.2119	181.5053	127.5687	0	0	0	0.1508	1.6866	0	4.276	0.4431	0.765	0.9822	0.8783	0.7685	0.4435				
403-4	403	2009_nc_403_fruit-t.jpg	4	18.9465	24.0664	5.8674	5.8674	4.6482	5.0038	0.8528	0.7922	0.8918	0.7965	1.1196	0.9142	0.9574	0.5625	1.4537	0.0659	208.6442	137.4084	0.1402	176.293	122.3663	0	0	0	0.1465	1.6173	0	4.3435	0.4559	0.7347	0.8889	0.878	0.7912	0.4482				
403-5	403	2009_nc_403_fruit-t.jpg	5	19.2883	24.4096	5.9436	5.969	4.4704	5.0038	0.8383	0.7521	0.9017	0.812	1.1105	0.8707	0.941	0.5568	1.9845	0.0921	198.4969	144.1253	0.2316	187.351	118.5573	0.0029	0	0	0.1707	1.5459	0	5.1667	0.4293	0.7143	0.9091	0.875	0.7609	0.4653				
