plant	fruit perimeter	fruit area	fruit mid-height width	fruit widest width	fruit length mid-width	fruit longest length	fruit shape index external	fruit shape index external 2	proximal fruit end blockiness 5%	distal fruit end blockiness 5%	fruit shape triangle 5%	proximal fruit end blockiness 10%	distal fruit end blockiness 10%	fruit shape triangle 10%	proximal fruit end blockiness 20%	distal fruit end blockiness 20%	fruit shape triangle 20%	proximal fruit end blockiness 30%	distal fruit end blockiness 30%	fruit shape triangle 30%	distal angle micro 2%	distal angle micro 5%	distal angle macro 10%	distal angle macro 15%	distal angle macro 20%	distal angle macro 25%	proximal fruit end height	proximal fruit end angle	proximal fruit end indentation	distal fruit end indentation	distal fruit end protrusion	obovoid	ovoid	vertical asymmetry	horizontal asymmetry obovoid	horizontal asymmetry ovoid	heart shape	fruit shape ellipsoid	fruit shape circular	fruit shape rectangular
03S10-102 test01	61.27	266.52	17.96	17.98	18.37	18.47	1.03	1.02	0.48	0.47	1.04	0.64	0.62	1.05	0.83	0.8	1.03	0.93	0.92	1.02	172.04	172.08	153.53	128.7	103.47	83.14	0	175.79	0	0	0	0	0.14	0.67	0.14	0.77	0.11	0.99	0.99	0.51
03S10-103 test01	95.77	607.47	26.36	26.43	28	28.41	1.07	1.06	0.56	0.45	1.24	0.69	0.61	1.13	0.85	0.81	1.05	0.94	0.92	1.02	174.05	161.77	145.93	122.8	101.88	80.66	0.01	188.62	0	0	0	0	0.08	1.36	0	3.14	0.29	0.99	0.98	0.53
03S10-104 test01	59.55	256.28	18.44	18.44	16.83	17.03	0.92	0.91	0.54	0.48	1.15	0.68	0.62	1.11	0.85	0.81	1.06	0.94	0.92	1.03	177.14	167.57	158.18	136.19	113.07	93.9	0.01	183.51	0	0	0	0.01	0.18	0.5	0.05	1.29	0.22	0.99	0.99	0.53
03S10-106 test01	87.75	513.95	21.39	21.59	29.52	29.77	1.38	1.38	0.5	0.47	1.09	0.65	0.64	1.02	0.82	0.84	0.98	0.91	0.94	0.96	183.19	159.88	129.8	102.74	79.69	59.59	0	183.75	0	0	0	0.07	0	3.26	3.96	0.99	0.07	0.98	0.91	0.5
03S10-107 test01	83.27	494.29	23.51	23.63	25.46	25.74	1.09	1.09	0.57	0.45	1.27	0.71	0.6	1.19	0.88	0.79	1.1	0.96	0.91	1.06	177.12	162.44	141.01	118.18	95.13	76.05	0	183.38	0	0	0	0	0.22	2.04	0	4.52	0.2	0.98	0.97	0.52
03S10-108 test01	88.51	542.06	22.72	22.82	29.75	30	1.32	1.31	0.51	0.39	1.33	0.67	0.57	1.18	0.84	0.78	1.08	0.94	0.9	1.04	156.3	143.39	125.78	102.34	81.05	62.59	0	182.71	0	0	0	0	0.14	2.35	0	4.71	0.18	0.99	0.93	0.5
03S10-109 test01	67.47	324.6	20.32	20.36	19.42	19.61	0.97	0.96	0.56	0.45	1.23	0.7	0.6	1.16	0.86	0.79	1.1	0.95	0.91	1.05	173.83	167.76	152.24	129.27	106.35	86.36	0.01	184.97	0	0	0	0	0.26	0.5	0	2.69	0.26	0.99	0.99	0.53
03S10-110 test01	56.39	228	17.58	17.6	15.75	16	0.91	0.9	0.52	0.46	1.15	0.68	0.61	1.12	0.85	0.8	1.06	0.94	0.92	1.03	175.81	170.41	154.52	136.75	115.07	94.1	0.01	184.58	0	0	0	0.03	0.18	1.39	0.05	1.72	0.22	0.98	0.98	0.52
03S10-111 test01	60.66	265.98	17.5	17.55	18.46	18.65	1.06	1.06	0.54	0.47	1.16	0.67	0.62	1.09	0.85	0.82	1.05	0.95	0.92	1.03	171.76	170.71	144.45	122.16	102.14	80.8	0.01	187.98	0	0	0	0	0.19	0.27	0	1.08	0.33	0.99	0.98	0.53
03S10-112 test01	71.44	352.61	18.3	18.37	22.6	23.15	1.27	1.24	0.55	0.53	1.04	0.68	0.67	1.03	0.84	0.84	1	0.93	0.94	0.98	222.56	174.18	147.26	113.06	85.43	64.02	0	184.9	0	0	0	0.03	0.09	1.92	2.11	0.71	0.1	0.97	0.93	0.53
03S10-113 test01	79.1	444.58	23.3	23.32	22.68	23.04	0.99	0.97	0.58	0.5	1.18	0.72	0.65	1.12	0.87	0.82	1.06	0.96	0.93	1.03	178.2	172.8	155.59	133.27	108.13	85.42	0.01	186.19	0	0	0	0	0.12	1.42	0	2.69	0.35	0.98	0.99	0.55
03S10-114 test01	78.22	426.99	23.62	23.72	21.79	22.2	0.94	0.92	0.55	0.46	1.2	0.69	0.61	1.13	0.85	0.8	1.06	0.94	0.92	1.03	174.93	170.7	152.74	132.72	111.97	90.45	0.01	188.06	0	0	0	0.01	0.19	1.11	0	2.42	0.36	0.99	0.99	0.53
