Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:
778	SCT_0098	2010	Davis	California	2	OH08-7439
779	SCT_0102	2010	Davis	California	2	OH08-7459
780	SCT_0054	2010	Davis	California	2	OH05-8078
781	SCT_0072	2010	Davis	California	2	OH05-8179
782	SCT_0115	2010	Davis	California	2	OH8243
783	SCT_0057	2010	Davis	California	2	OH05-8090
784	SCT_0029	2010	Davis	California	2	FG02-188
785	SCT_0113	2010	Davis	California	2	OH7870
786	SCT_0032	2010	Davis	California	2	M82
787	SCT_0105	2010	Davis	California	2	OH08-7469
788	SCT_0134	2010	Davis	California	2	R001
789	SCT_0088	2010	Davis	California	2	OH08-5204
790	SCT_0130	2010	Davis	California	2	OH987034
791	SCT_0076	2010	Davis	California	2	OH05-8186
792	SCT_0109	2010	Davis	California	2	OH5-8127
793	SCT_0028	2010	Davis	California	2	F06-2058
794	SCT_0020	2010	Davis	California	2	E6203
795	SCT_0030	2010	Davis	California	2	H1706
796	SCT_0067	2010	Davis	California	2	OH05-8162
797	SCT_0108	2010	Davis	California	2	OH3614
798	SCT_0045	2010	Davis	California	2	OH05-8053
799	SCT_0132	2010	Davis	California	2	Pearson
800	SCT_0135	2010	Davis	California	2	R9812
801	SCT_0068	2010	Davis	California	2	OH05-8163
802	SCT_0008	2010	Davis	California	2	CULBPT04-4
803	SCT_0042	2010	Davis	California	2	OH05-8044
804	SCT_0096	2010	Davis	California	2	OH08-5216
805	SCT_0106	2010	Davis	California	2	OH08-7470
806	SCT_0087	2010	Davis	California	2	OH08-5203
807	SCT_0055	2010	Davis	California	2	OH05-8079
808	SCT_0117	2010	Davis	California	2	OH832
809	SCT_0046	2010	Davis	California	2	OH05-8059
810	SCT_0070	2010	Davis	California	2	OH05-8171
811	SCT_0048	2010	Davis	California	2	OH05-8064
812	SCT_0056	2010	Davis	California	2	OH05-8087
813	SCT_0124	2010	Davis	California	2	OH9241
814	SCT_0079	2010	Davis	California	2	OH05-8192
815	SCT_0114	2010	Davis	California	2	OH7983
816	SCT_0059	2010	Davis	California	2	OH05-8104
817	SCT_0107	2010	Davis	California	2	OH2641
818	SCT_0094	2010	Davis	California	2	OH08-5213
819	SCT_0017	2010	Davis	California	2	CULBPT-05-9
820	SCT_0127	2010	Davis	California	2	OH981067
