	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
585-4	585	2010_ca_11585_fruit_C.jpg	4	1.1594	0.4449	0.2539	
585-5	585	2010_ca_11585_fruit_C.jpg	5	1.2036	0.4452	0.2492	
586-1	586	2010_ca_11586_fruit_C.jpg	1	1.2744	0.4458	0.2517	
586-2	586	2010_ca_11586_fruit_C.jpg	2	0.844	0.4449	0.2516	
586-3	586	2010_ca_11586_fruit_C.jpg	3	1.7549	0.446	0.2509	
586-4	586	2010_ca_11586_fruit_C.jpg	4	1.6219	0.4442	0.2514	
586-5	586	2010_ca_11586_fruit_C.jpg	5	1.3962	0.4475	0.2545	
587-1	587	2010_ca_11587_fruit_C.jpg	1	2.0416	0.4446	0.253	
587-2	587	2010_ca_11587_fruit_C.jpg	2	3.1837	0.443	0.2494	
587-3	587	2010_ca_11587_fruit_C.jpg	3	1.4903	0.443	0.2506	
587-4	587	2010_ca_11587_fruit_C.jpg	4	0.681	0.4444	0.2551	
587-5	587	2010_ca_11587_fruit_C.jpg	5	1.3651	0.4442	0.2522	
588-1	588	2010_ca_11588_fruit_C.jpg	1	1.5771	0.4455	0.2509	
588-2	588	2010_ca_11588_fruit_C.jpg	2	1.1526	0.4461	0.2543	
588-3	588	2010_ca_11588_fruit_C.jpg	3	1.1533	0.4432	0.2524	
588-4	588	2010_ca_11588_fruit_C.jpg	4	1.7438	0.4455	0.2543	
588-5	588	2010_ca_11588_fruit_C.jpg	5	0.8941	0.4439	0.2532	
589-1	589	2010_ca_11589_fruit_C.jpg	1	2.4719	0.4438	0.2508	
589-2	589	2010_ca_11589_fruit_C.jpg	2	2.2372	0.4413	0.2444	
589-3	589	2010_ca_11589_fruit_C.jpg	3	2.3566	0.4459	0.2518	
589-4	589	2010_ca_11589_fruit_C.jpg	4	2.7061	0.4459	0.2528	
589-5	589	2010_ca_11589_fruit_C.jpg	5	2.1011	0.4443	0.2521	
590-1	590	2010_ca_11590_fruit_C.jpg	1	1.3139	0.4446	0.2515	
590-2	590	2010_ca_11590_fruit_C.jpg	2	0.6311	0.4456	0.2518	
590-3	590	2010_ca_11590_fruit_C.jpg	3	1.2874	0.445	0.2532	
590-4	590	2010_ca_11590_fruit_C.jpg	4	0.7875	0.4456	0.2509	
590-5	590	2010_ca_11590_fruit_C.jpg	5	1.2122	0.4463	0.2555	
591-1	591	2010_ca_11591_fruit_C.jpg	1	0.9472	0.4452	0.2524	
591-2	591	2010_ca_11591_fruit_C.jpg	2	2.0867	0.447	0.2519	
591-3	591	2010_ca_11591_fruit_C.jpg	3	1.5314	0.4468	0.2542	
591-4	591	2010_ca_11591_fruit_C.jpg	4	1.8653	0.4383	0.25	
591-5	591	2010_ca_11591_fruit_C.jpg	5	1.6454	0.4444	0.2486	
592-1	592	2010_ca_11592_fruit_C.jpg	1	1.027	0.445	0.2555	
592-2	592	2010_ca_11592_fruit_C.jpg	2	1.1067	0.4449	0.2523	
592-3	592	2010_ca_11592_fruit_C.jpg	3	0.7524	0.445	0.2532	
592-4	592	2010_ca_11592_fruit_C.jpg	4	1.3957	0.4446	0.2535	
592-5	592	2010_ca_11592_fruit_C.jpg	5	1.274	0.4447	0.2523	
593-1	593	2010_ca_11593_fruit_C.jpg	1	1.5562	0.4426	0.2527	
593-2	593	2010_ca_11593_fruit_C.jpg	2	1.4766	0.4457	0.2535	
593-3	593	2010_ca_11593_fruit_C.jpg	3	1.4651	0.4441	0.25	
593-4	593	2010_ca_11593_fruit_C.jpg	4	1.4472	0.4432	0.2506	
593-5	593	2010_ca_11593_fruit_C.jpg	5	1.219	0.4443	0.2514	
594-1	594	2010_ca_11594_fruit_C.jpg	1	1.0663	0.4443	0.2522	
594-2	594	2010_ca_11594_fruit_C.jpg	2	1.2677	0.4446	0.2537	
594-3	594	2010_ca_11594_fruit_C.jpg	3	1.3699	0.4439	0.25	
594-4	594	2010_ca_11594_fruit_C.jpg	4	2.1903	0.4445	0.2553	
594-5	594	2010_ca_11594_fruit_C.jpg	5	1.6793	0.4451	0.2532	
595-1	595	2010_ca_11595_fruit_C.jpg	1	1.7804	0.4451	0.2508	
595-2	595	2010_ca_11595_fruit_C.jpg	2	1.0463	0.4449	0.2538	
595-3	595	2010_ca_11595_fruit_C.jpg	3	1.0114	0.4458	0.2544	
595-4	595	2010_ca_11595_fruit_C.jpg	4	1.3742	0.4451	0.2555	
