plot_name	accession_name	plot_number	block_number	is_a_control	rep_number	Brix|SP:0000165	PH|SP:0000170	titratable acids (g citric acid /100 ml)|SP:0000345	days to Maturity|SP:0000366						
2010_vintage_Fremont_OH_9022_2	LYC1903	9022	2		2	6.7	4.19	0.70912	168						
2010_vintage_Fremont_OH_9023_2	Tainan	9023	2		2	6.9	4.23	0.4992	160						
2010_vintage_Fremont_OH_9024_2	Rinon PI 98097	9024	2		2	8	4.09	0.9408	160						
2010_vintage_Fremont_OH_9025_2	Tomate	9025	2		2	8.2	4.19	0.70336	153						
2010_vintage_Fremont_OH_9026_2	Sao Paulo	9026	2		2	7.6	4.23	0.6976	153						
2010_vintage_Fremont_OH_9027_2	Rinon PI 118783	9027	2		2	5.9	4.3	0.51136	146						
2010_vintage_Fremont_OH_9028_2	Abel	9028	2		2	5.4	4.28	0.4992	146						
2010_vintage_Fremont_OH_9029_2	PI 124035	9029	2		2	5.9	4.37	0.4736	146						
2010_vintage_Fremont_OH_9030_2	PI 124037	9030	2		2	7.5	4.52	0.52288	160						
2010_vintage_Fremont_OH_9031_2	Rumi Banjan	9031	2		2	6.9	4.16	0.7392	153						
2010_vintage_Fremont_OH_9032_2	PI 127820	9032	2		2	7.9	4.21	0.80448	153						
2010_vintage_Fremont_OH_9033_2	PI 128586	9033	2		2	6.4	4.26	0.66368	146						
2010_vintage_Fremont_OH_9034_2	PI 128592	9034	2		2	6.9	4.46	0.54656	160						
2010_vintage_Fremont_OH_9035_2	PI 129026	9035	2		2	5.87	4.33	0.52672	160						
2010_vintage_Fremont_OH_9036_2	PI 129033	9036	2		2	4.6	4.28	0.43648	168						
2010_vintage_Fremont_OH_9037_2	PI 129084	9037	2		2	4.8	4.51	0.28864	168						
2010_vintage_Fremont_OH_9038_2	PI 129128	9038	2		2	6.3	4.4	0.58688	168						
2010_vintage_Fremont_OH_9039_2	PI 129142	9039	2		2	6.5	4.32	0.52224	160						
2010_vintage_Fremont_OH_9040_2	PI 155372	9040	2		2	8.1	4.21	0.81856	160						
2010_vintage_Fremont_OH_9041_2	Prospero	9041	2		2	5.7	4.25	0.54272	153						
2010_vintage_Fremont_OH_9042_2	Chih-mu-tao-se	9042	2		2	7.6	4.17	0.68992	153						
2010_vintage_Fremont_OH_9043_2	PI 159009	9043	2		2	6.3	4.34	0.57024	146						
2010_vintage_Fremont_OH_9044_2	PI 196297	9044	2		2	5.8	4.14	0.5472	146						
2010_vintage_Fremont_OH_9045_2	Turrialba	9045	2		2	6.1	4.12	0.58048	146						
2010_vintage_Fremont_OH_9046_2	LA0410	9046	2		2	6.2	4.15	0.64512	146						
2010_vintage_Fremont_OH_9047_2	Cotaxtla I	9047	2		2	6.2	4.36	0.5248	153						
2010_vintage_Fremont_OH_9048_2	PI 270430	9048	2		2	6.8	4.2	0.7136	153						
2010_vintage_Fremont_OH_9049_2	PI 272703	9049	2		2	8.3	4.45	0.69632	160						
2010_vintage_Fremont_OH_9050_2	Kiyosu No. 2	9050	2		2	6.7	4.38	0.52416	160						
2010_vintage_Fremont_OH_9051_2	Hong Kong	9051	2		2	5.8	4.41	0.3648	168						
2010_vintage_Fremont_OH_9052_2	Devon Surprise	9052	2		2	5.8	4.49	0.3968	168						
2010_vintage_Fremont_OH_9053_2	Heinz 1370	9053	2		2	4.9	4.35	0.51264	168						
2010_vintage_Fremont_OH_9054_2	W-C 1537	9054	2		2	7.9	4.17	0.7264	168						
2010_vintage_Fremont_OH_9055_2	A-1770	9055	2		2	5.6	4.52	0.44992	160						
2010_vintage_Fremont_OH_9056_2	A-1771	9056	2		2	8.2	4.26	0.63232	160						
2010_vintage_Fremont_OH_9057_2	1091-Chonto 21 (mataverde (3-21-2))	9057	2		2	5.9	4.37	0.48064	153						
2010_vintage_Fremont_OH_9058_2	Peto 460	9058	2		2	6.2	4.41	0.44352	153						
2010_vintage_Fremont_OH_9059_2	Rosa o Monserrat	9059	2		2	7.2	4.39	0.46656	146						
2010_vintage_Fremont_OH_9060_2	Tomate del lugar	9060	2		2	5.9	4.21	0.47424	146						
2010_vintage_Fremont_OH_9061_2	Pomodoro Superselezione di Marmande	9061	2		2	5.6	4.29	0.48512	146						
2010_vintage_Fremont_OH_9062_2	PI 270408	9062	2		2	6.4	4.04	0.8736	146						
2010_vintage_Fremont_OH_9063_2	W-C 1050	9063	2		2	7	4.22	0.816	153						
2010_vintage_Fremont_OH_9064_2	Zhongza No. 4	9064	2		2	6.6	4.33	0.5824	153						
2010_vintage_Fremont_OH_9065_1	King Humbert	9065	1		1	7.6	4.13	0.94272	160						
2010_vintage_Fremont_OH_9066_1	Stupice	9066	1		1	6.5	4.34	0.528	160						
2010_vintage_Fremont_OH_9067_2	King Humbert	9067	2		2	6.1	4.01	0.88512	168						
2010_vintage_Fremont_OH_9068_2	Stupice	9068	2		2	4.8	4.5	0.30912	168						
