	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	photovolt reflectance		USDA		% Sugar
	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix	mm/yyyy	%FW	%FW	mm/yyyy	%FW	%FW	bud	stem	color	mottling	End
accession	line	plot	replicate	date	flower_color	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	SP:0000198|unit:kg	SP:0000218|unit:	tuber_picture	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	date1	SP:0000215|unit:milligram	SP:0000214|unit:milligram	date2	SP:0000215|unit:%FW	SP:0000214|unit:%FW					
A05141-64|105	A05141-64	62-25	1	2009/09/23	LRP^	3	1	3	2.9	1.088	A05141-64 Tuber.JPG	4	5	1	5	6.6	3.7	3.5	5	3	3	2009/10/07	0.01	0.108	2010/02/09	0.038	0.077	48.6	48.7	1	1.2	20
A05141-66|107	A05141-66	63-17	1	2009/09/23	MRP^	8	4	3	6.4	1.086	A05141-66 Tuber.JPG	6	3	1	4	11.4	6.1	5.3	5	5	7	2009/10/07	0.037	0.108	2010/02/09	0.024	0.087	51.4	52.2	1	1	20
A05141-67|109	A05141-67	63-06	1	2009/09/23	MRP^	8	3	3	6.4	1.076	A05141-67 Tuber.JPG	4	6	1	5	13	7.1	5.9	5	9	5	2009/10/07	0.029	0.142	2010/02/09	0.036	0.099	49.3	47.9	1	1	0
A05141-68|111	A05141-68	63-03	1	2009/09/23	MPR*	7	5	5	11.8	1.084	A05141-68 Tuber.JPG	5	5	1	5	13.5	7.1	6.5	5	9	5	2009/10/07	0.018	0.137	2010/02/09	0.08	0.087	42	40.8	2	1.2	60
A05141-69|113	A05141-69	63-09	1	2009/09/23	MPR^	8	5	7	14.7	1.085	A05141-69 Tuber.JPG	4	4	1	5	13	6.6	5.8	7	9	9	2009/10/07	0.034	0.121	2010/02/09	0.064	0.09	42.6	41.7	2	1	0
A05141-7|11	A05141-7	63-12	1	2009/09/23	W	6	2	5	9	1.084	A05141-7 Tuber.JPG	4	5	1	5	14.4	6	5.5	7	7	5	2009/10/07	0.025	0.072	2010/02/09	0.087	0.057	50.5	41.5	2	1.6	60
A05141-70|115	A05141-70	62-19	1	2009/09/23	W	4	1	5	4.2	1.099	A05141-70 Tuber.JPG	6	3	1	5	9.4	4.8	4.4	5	5	7	2009/10/07	0.005	0.132	2010/02/09	0.052	0.18	53.5	35.3	2	1.4	80
A05141-71|117	A05141-71	62-10	1	2009/09/23	LRP	5	1	3	3.9	1.096	A05141-71 Tuber.JPG	6	3	1	4	7.8	5.5	4.6	7	7	5	2009/10/07	0.002	0.108	2010/02/09	0.035	0.109	50.8	49.9	1	1.2	0
A05141-72|119	A05141-72	63-02	1	2009/09/23	LP	8	8	5	5.2	1.071	A05141-72 Tuber.JPG	4	6	1	5	12.9	5.9	5.4	5	9	3	2009/10/07	0.03	0.126	2010/02/09	0.053	0.126	49	43.2	2	1.4	0
A05141-73|121	A05141-73	65-04	1	2009/09/23	LRP	7	4	3	4.5	1.088	A05141-73 Tuber.JPG	4	4	1	5	9.2	4.3	3.9	5	7	5	2009/10/07	0.086	0.103	2010/02/09	0.146	0.082	45.4	47.1	1	1.2	0
A05141-75|123	A05141-75	64-08	1	2009/09/23	MRP	7	4	5	9.3	1.093	A05141-75 Tuber.JPG	5	4	1	5	13.7	7.2	6.4	7	9	9	2009/10/07	0.006	0.091	2010/02/09	0.028	0.098	54.7	56.3	1	1	0
A05141-76|125	A05141-76	65-03	1	2009/09/23	MRP^	7	4	7	10.3	1.089	A05141-76 Tuber.JPG	4	5	1	4	11.1	6.3	5.7	5	7	5	2009/10/07	0.007	0.132	2010/02/09	0.025	0.117	55.8	54.2	1	1.2	0
